time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-12-31,1149520.18,1036972.91,1048313.8,58.04,64592642.26,1112898.73,invert_divide,ETH
2018-01-01,1142531.25,963706.5,1077534.83,72.79,74161933.82,1018847.83,invert_divide,ETH
2018-01-02,1254452.64,984583.22,1018847.83,216.18,231066522.77,1068861.7,invert_divide,ETH
2018-01-03,1163839.1,924815.24,1068861.7,136.6,139529639.16,1021446.85,invert_divide,ETH
2018-01-04,1279721.49,987889.17,1032336.97,98.24,103631271.08,1054878.57,invert_divide,ETH
2018-01-05,1383764.64,1152639.05,1178337.99,30.68,41858728.86,1364365.35,invert_divide,ETH
2018-01-06,1320915.7,1030555.86,1364365.35,67.98,83047109.43,1221640.33,invert_divide,ETH
2018-01-07,1141654.15,956815.48,1221640.33,15.61,17821221.32,1141654.15,invert_divide,ETH
2018-01-08,1178551.76,845333.51,1141654.15,98.08,89789145.05,915468.44,invert_divide,ETH
2018-01-09,1153803.91,730505.42,915468.44,71.31,74685932.59,1047341.64,invert_divide,ETH
2018-01-10,1205297.01,849077.3,1047341.64,62.74,73454965.07,1170783.63,invert_divide,ETH
2018-01-11,1155069.01,784406.85,1181066.07,39.91,38826181.56,972843.44,invert_divide,ETH
2018-01-12,1036844.22,740876.45,972616.67,25.07,21581507.58,860849.92,invert_divide,ETH
2018-01-13,1093453.52,740676.38,860849.92,15.35,15510571.77,1010460.7,invert_divide,ETH
2018-01-14,1046891.88,897621.36,1010357.03,10.86,10258541.18,944617.05,invert_divide,ETH
2018-01-15,1045886.35,973154.58,944617.05,12.99,12700695.6,977728.68,invert_divide,ETH
2018-01-16,1072886.57,701502.66,977624.75,105.84,74247041.46,701502.66,invert_divide,ETH
2018-01-17,949649.32,592690.32,701350.41,168.09,121869128.29,725023.07,invert_divide,ETH
2018-01-18,947930.6,690866.5,869072.42,31.78,26574117.11,836189.97,invert_divide,ETH
2018-01-19,953052.59,738955.73,836189.97,6.003,5003207.11,833451.13,invert_divide,ETH
2018-01-20,998449.69,697368.05,846287.03,11.7,11681861.43,998449.69,invert_divide,ETH
2018-01-21,1104132.81,574819.12,998449.69,48.56,38648227.65,795886.07,invert_divide,ETH
2018-01-22,919191.66,593880.93,738419.38,47.07,41614571.7,884099.67,invert_divide,ETH
2018-01-23,897913.73,630236.91,884099.67,12.18,10404167.26,854200.92,invert_divide,ETH
2018-01-24,865013.39,672263.31,854106.94,1.168,1010335.64,865013.39,invert_divide,ETH
2018-01-25,876658.88,645095.66,784638.46,14.26,11514716.09,807483.6,invert_divide,ETH
2018-01-26,815732.42,696572.44,748688.89,7.836,6157037.29,785737.28,invert_divide,ETH
2018-01-27,829063.1,718609.8,785737.28,11.39,9094191.05,798436.44,invert_divide,ETH
2018-01-28,849134.79,605768.44,798428.32,62.98,48079865.92,763414.83,invert_divide,ETH
2018-01-29,829275.5,602949.0,763414.83,81.95,58215084.21,710373.21,invert_divide,ETH
2018-01-30,769542.59,547995.09,710373.21,56.4,36819246.12,652823.51,invert_divide,ETH
2018-01-31,738421.21,457265.17,570802.64,161.67,112666818.1,696893.78,invert_divide,ETH
2018-02-01,681140.94,310095.49,493202.01,106.51,41448003.93,389146.6,invert_divide,ETH
2018-02-02,670670.64,327410.59,389146.6,92.09,61762059.68,670670.64,invert_divide,ETH
2018-02-03,710589.19,379364.64,670670.64,19.08,12920683.02,677184.64,invert_divide,ETH
2018-02-04,732323.47,511275.25,677184.64,4.277,2908360.0,680000.0,invert_divide,ETH
2018-02-05,682025.82,347808.14,680000.0,32.56,11502199.92,353261.67,invert_divide,ETH
2018-02-06,479303.63,166702.45,353261.67,216.5,96525442.5,445845.0,invert_divide,ETH
2018-02-07,645578.81,282344.89,445845.0,34.83,14268782.44,409669.32,invert_divide,ETH
2018-02-08,611417.88,366094.48,409751.92,11.89,5515431.56,463871.45,invert_divide,ETH
2018-02-09,582198.12,297744.11,536287.54,28.13,8925448.67,317292.88,invert_divide,ETH
2018-02-10,614327.41,292655.53,414338.08,31.92,9341564.59,292655.53,invert_divide,ETH
2018-02-11,434351.35,248285.64,292655.53,49.19,15695685.46,319082.85,invert_divide,ETH
2018-02-12,634055.68,324515.31,319082.85,51.7,19740806.35,381833.78,invert_divide,ETH
2018-02-13,592947.03,353920.75,381833.78,9.98,5917611.38,592947.03,invert_divide,ETH
2018-02-14,615641.0,309315.72,592947.03,34.55,14051499.56,406700.42,invert_divide,ETH
2018-02-15,699294.51,358968.25,406700.42,60.81,23076745.98,379489.33,invert_divide,ETH
2018-02-16,638435.23,347876.62,379571.58,95.27,42299776.8,443998.92,invert_divide,ETH
2018-02-17,786984.76,422393.63,442359.73,70.66,46691412.56,660789.87,invert_divide,ETH
2018-02-18,772451.43,625117.67,660789.87,17.92,11263686.49,628553.93,invert_divide,ETH
2018-02-19,741980.53,590343.15,628553.93,26.22,18334356.01,699250.8,invert_divide,ETH
2018-02-20,800334.18,670774.5,695907.18,32.67,21914203.07,670774.5,invert_divide,ETH
2018-02-21,745578.06,578182.83,670774.5,42.76,28285748.0,661500.19,invert_divide,ETH
2018-02-22,750296.34,638586.43,661582.75,25.63,16557466.67,646018.99,invert_divide,ETH
2018-02-23,802614.58,626152.1,646018.99,51.61,41422938.52,802614.58,invert_divide,ETH
2018-02-24,786002.33,620937.56,802614.58,15.13,9519190.8,629160.0,invert_divide,ETH
2018-02-25,696389.05,616051.01,629160.0,7.825,4896423.14,625740.98,invert_divide,ETH
2018-02-26,730335.08,631441.22,625812.23,16.98,12401089.6,730335.08,invert_divide,ETH
2018-02-27,748113.96,669120.65,730335.08,15.71,11672961.82,743027.49,invert_divide,ETH
2018-02-28,739877.92,649340.2,743027.49,21.35,14266159.46,668204.19,invert_divide,ETH
2018-03-01,749406.19,642194.13,668204.19,7.763,5817640.26,749406.19,invert_divide,ETH
2018-03-02,826780.7,701210.28,749688.06,3.635,2579751.21,709697.72,invert_divide,ETH
2018-03-03,801995.31,737838.45,709697.72,3.147,2490830.48,791493.64,invert_divide,ETH
2018-03-04,783828.6,696277.79,728758.34,1.731,1324234.06,765011.01,invert_divide,ETH
2018-03-05,799559.33,696460.42,682878.62,2.489,1972744.83,792585.31,invert_divide,ETH
2018-03-06,771500.07,686628.08,787028.97,3.975,2750205.81,691875.67,invert_divide,ETH
2018-03-07,766869.14,647114.49,691875.67,4.078,2638932.87,647114.49,invert_divide,ETH
2018-03-08,774332.53,666613.2,686938.59,4.287,3290701.2,767600.0,invert_divide,ETH
2018-03-09,747098.58,550740.85,712062.0,3.193,1948945.14,610380.56,invert_divide,ETH
2018-03-10,747618.43,611752.96,606057.52,2.504,1858921.83,742380.92,invert_divide,ETH
2018-03-11,732802.04,560075.99,545583.81,0.4822,346609.08,718807.72,invert_divide,ETH
2018-03-12,727665.71,594998.69,725183.43,2.571,1870828.53,727665.71,invert_divide,ETH
2018-03-13,698965.23,618299.8,633553.45,3.944,2709626.4,687024.95,invert_divide,ETH
2018-03-14,704682.68,577834.03,689099.92,3.088,2092365.49,677579.5,invert_divide,ETH
2018-03-15,736087.78,583153.48,677670.42,1.624,1017900.63,626786.1,invert_divide,ETH
2018-03-16,646695.32,579761.37,626786.1,2.732,1757233.2,643203.95,invert_divide,ETH
2018-03-17,665646.65,586488.92,643115.09,1.21,709651.59,586488.92,invert_divide,ETH
2018-03-18,586134.78,555598.41,549758.04,0.385,215897.89,560773.75,invert_divide,ETH
2018-03-19,684269.14,561075.95,560688.26,1.391,813904.33,585121.73,invert_divide,ETH
2018-03-20,678904.08,573968.82,566516.86,1.217,704990.1,579285.21,invert_divide,ETH
2018-03-21,655027.8,605637.01,611974.26,4.761,2950608.38,619745.51,invert_divide,ETH
2018-03-22,636040.69,558176.65,605281.97,2.239,1416792.06,632778.94,invert_divide,ETH
2018-03-23,652146.84,543410.03,632778.94,2.0,1304293.67,652146.84,invert_divide,ETH
2018-03-24,652895.82,576636.1,652146.84,0.8681,566778.86,652895.82,invert_divide,ETH
2018-03-25,629657.18,543133.57,551064.48,1.177,698556.16,593505.66,invert_divide,ETH
2018-03-26,654304.99,470028.62,593505.66,1.664,1044868.89,627926.01,invert_divide,ETH
2018-03-27,655277.78,534944.27,627926.01,8.65,4735859.98,547498.26,invert_divide,ETH
2018-03-28,610964.56,538894.92,525511.46,3.631,2176795.82,599503.12,invert_divide,ETH
2018-03-29,623949.95,511646.52,599609.9,3.282,1679223.89,511646.52,invert_divide,ETH
2018-03-30,528058.56,440210.53,510397.03,5.38,2413496.32,448605.26,invert_divide,ETH
2018-03-31,550747.58,438836.76,448683.46,1.743,959953.03,550747.58,invert_divide,ETH
2018-04-01,564144.14,463783.78,550747.58,1.567,838246.74,534937.3,invert_divide,ETH
2018-04-02,564732.44,377924.08,534937.3,8.9,3363524.3,377924.08,invert_divide,ETH
2018-04-03,548089.97,367872.19,377924.08,4.01,1962980.18,489521.24,invert_divide,ETH
