time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-17,1783504.19,1697603.29,1720590.35,124769.37,214038181574.64,1715470.56,invert_divide,ETH
2023-01-18,1797234.89,1659528.71,1715470.56,121422.51,203153605174.53,1673113.21,invert_divide,ETH
2023-01-19,1736179.32,1661681.97,1673113.21,114869.47,195660222177.81,1703326.59,invert_divide,ETH
2023-01-20,1854552.0,1703005.88,1703326.59,116388.36,214877392768.56,1846210.33,invert_divide,ETH
2023-01-21,1914107.97,1827933.34,1846210.33,104898.32,194619919920.48,1855319.7,invert_divide,ETH
2023-01-22,1891333.47,1804570.77,1855319.7,83496.52,154502279955.38,1850403.82,invert_divide,ETH
2023-01-23,1901963.65,1815502.47,1850403.82,86038.82,159826255154.32,1857606.31,invert_divide,ETH
2023-01-24,1960017.75,1814701.96,1857606.31,80951.45,148683110211.15,1836694.84,invert_divide,ETH
2023-01-25,1924129.94,1766528.19,1836694.84,85601.67,159843846493.36,1867298.23,invert_divide,ETH
2023-01-26,1919188.45,1836941.97,1867298.23,87765.46,163458656174.06,1862448.58,invert_divide,ETH
2023-01-27,1919195.78,1817363.41,1862448.58,82749.77,156465035765.14,1890821.4,invert_divide,ETH
2023-01-28,1928702.78,1849628.26,1890821.4,87924.35,164157889651.62,1867035.58,invert_divide,ETH
2023-01-29,1963939.83,1831945.74,1867035.58,91087.6,177298819419.22,1946464.94,invert_divide,ETH
2023-01-30,1968089.62,1815706.21,1946464.94,92411.01,172954100353.02,1871574.61,invert_divide,ETH
2023-01-31,1924167.61,1848206.13,1871574.61,105268.83,200100796822.24,1900855.14,invert_divide,ETH
2023-02-01,1956604.42,1835194.25,1900855.14,108229.44,208746887152.94,1928744.04,invert_divide,ETH
2023-02-02,2022302.89,1898715.69,1928744.04,114219.62,219047647663.07,1917776.01,invert_divide,ETH
2023-02-03,1951085.07,1869955.63,1917776.01,96906.56,188196606865.76,1942041.97,invert_divide,ETH
2023-02-04,1965135.64,1889979.0,1942041.97,94862.61,182993055334.67,1929032.47,invert_divide,ETH
2023-02-05,1950634.15,1857979.87,1929032.47,101860.25,191680257121.41,1881796.45,invert_divide,ETH
2023-02-06,1946430.83,1860918.91,1881796.45,116205.31,219997693660.21,1893181.07,invert_divide,ETH
2023-02-07,1943822.48,1839621.87,1893181.07,144065.7,275925399495.2,1915274.76,invert_divide,ETH
2023-02-08,1964801.22,1865856.73,1915274.76,154825.26,292419732749.34,1888708.17,invert_divide,ETH
2023-02-09,1940044.14,1765494.15,1888708.17,155647.33,281393317503.15,1807890.42,invert_divide,ETH
2023-02-10,1844112.76,1764874.52,1807890.42,127370.59,231746628982.37,1819467.34,invert_divide,ETH
2023-02-11,1818354.27,1757133.44,1819467.34,72595.09,131616084532.85,1813016.34,invert_divide,ETH
2023-02-12,1845862.4,1762662.26,1813016.34,125977.37,227570049470.3,1806435.95,invert_divide,ETH
2023-02-13,1835595.98,1739932.88,1806435.95,190451.39,344371982888.52,1808188.34,invert_divide,ETH
2023-02-14,1862930.51,1739069.92,1808188.34,187181.21,346188175640.82,1849481.45,invert_divide,ETH
2023-02-15,2028753.88,1846973.14,1849481.45,149461.36,302397853959.17,2023251.05,invert_divide,ETH
2023-02-16,2083022.98,1930977.45,2023251.05,156955.33,306964383413.92,1955743.61,invert_divide,ETH
2023-02-17,2077474.26,1944980.13,1955743.61,159487.07,326059621980.64,2044426.69,invert_divide,ETH
2023-02-18,2095543.54,2014968.55,2044426.69,135825.08,275452036096.3,2027990.97,invert_divide,ETH
2023-02-19,2073531.64,1984095.93,2027990.97,136957.05,274051037264.24,2000999.86,invert_divide,ETH
2023-02-20,2085502.84,1983756.89,2000999.86,157722.46,325700859189.13,2065025.23,invert_divide,ETH
2023-02-21,2103132.59,1987214.64,2065025.23,203734.19,414729216816.15,2035638.77,invert_divide,ETH
2023-02-22,2042510.67,1936006.03,2035638.77,208591.33,415840154534.97,1993563.94,invert_divide,ETH
2023-02-23,2026761.71,1943335.03,1993563.94,226177.5,444945234841.91,1967239.16,invert_divide,ETH
2023-02-24,1993073.55,1874081.63,1967239.16,194857.13,376563539453.57,1932510.96,invert_divide,ETH
2023-02-25,1952741.57,1874705.98,1931970.15,154987.56,298971385980.92,1929002.47,invert_divide,ETH
2023-02-26,1973994.4,1879583.96,1929002.47,152295.21,298729873887.17,1961518.51,invert_divide,ETH
2023-02-27,1991979.72,1901937.87,1961518.51,160050.56,309140131174.04,1931515.46,invert_divide,ETH
2023-02-28,1970755.08,1893823.84,1931515.46,145976.88,280614026809.77,1922318.29,invert_divide,ETH
2023-03-01,1964039.02,1863069.25,1922318.29,162687.22,315336243754.97,1938297.57,invert_divide,ETH
2023-03-02,1979451.65,1892534.68,1938297.57,158554.33,308056226244.44,1942906.42,invert_divide,ETH
2023-03-03,1944332.86,1791478.99,1942906.42,82332.57,151096730118.68,1835199.97,invert_divide,ETH
2023-03-04,1848008.84,1796324.96,1835199.97,133616.33,242655413309.85,1816061.06,invert_divide,ETH
2023-03-05,1869550.39,1809489.61,1816061.06,134078.43,247026157100.14,1842400.43,invert_divide,ETH
2023-03-06,1862633.09,1810779.34,1842400.43,144533.98,263898736608.74,1825859.47,invert_divide,ETH
2023-03-07,1852199.43,1778919.83,1825859.47,148332.41,271727601146.18,1831882.87,invert_divide,ETH
2023-03-08,1835030.17,1791089.08,1831882.87,55290.43,99651912899.81,1802335.65,invert_divide,ETH
2023-03-09,1802590.93,1767901.84,1802335.65,9953.23,17790148127.12,1787374.36,invert_divide,ETH
2023-03-10,1782828.91,1613041.68,1787374.36,7797.1,12729170035.91,1632551.85,invert_divide,ETH
2023-03-11,1690406.03,1606227.69,1632551.85,2687.51,4388559629.44,1632946.34,invert_divide,ETH
2023-03-12,1826771.23,1635674.74,1632946.34,604.28,1090202229.15,1804134.22,invert_divide,ETH
2023-03-13,1999224.78,1845610.09,1804134.22,776.56,1547188939.08,1992362.39,invert_divide,ETH
2023-03-14,2134245.9,1981381.84,1992362.39,1024.96,2170841907.64,2117977.2,invert_divide,ETH
2023-03-15,2146029.87,2146029.87,2117977.2,0.0,0.0,2146029.87,invert_divide,ETH
2023-03-16,2178084.09,2178084.09,2146029.87,0.0,0.0,2178084.09,invert_divide,ETH
2023-03-17,2232094.44,2232094.44,2178084.09,0.0,0.0,2232094.44,invert_divide,ETH
2023-03-18,2230728.62,2230728.62,2232094.44,0.0,0.0,2230728.62,invert_divide,ETH
2023-03-19,2290289.46,2290289.46,2230728.62,0.0,0.0,2290289.46,invert_divide,ETH
2023-03-20,2333163.68,2333163.68,2290289.46,0.0,0.0,2333163.68,invert_divide,ETH
2023-03-21,2274925.59,2274925.59,2333163.68,0.0,0.0,2274925.59,invert_divide,ETH
2023-03-22,2291369.11,2291369.11,2274925.59,0.0,0.0,2291369.11,invert_divide,ETH
2023-03-23,2274570.74,2274570.74,2291369.11,0.0,0.0,2274570.74,invert_divide,ETH
2023-03-24,2288851.51,2288851.51,2274570.74,0.0,0.0,2288851.51,invert_divide,ETH
2023-03-25,2299317.72,2299317.72,2288851.51,0.0,0.0,2299317.72,invert_divide,ETH
2023-03-26,2298955.23,2298955.23,2299317.72,0.0,0.0,2298955.23,invert_divide,ETH
2023-03-27,2306226.95,2306226.95,2298955.23,0.0,0.0,2306226.95,invert_divide,ETH
2023-03-28,2242391.67,2242391.67,2306226.95,0.0,0.0,2242391.67,invert_divide,ETH
2023-03-29,2305497.71,2305497.71,2242391.67,0.0,0.0,2305497.71,invert_divide,ETH
2023-03-30,2279192.4,2279192.4,2305497.71,0.0,0.0,2279192.4,invert_divide,ETH
2023-03-31,2278836.22,2278836.22,2279192.4,0.0,0.0,2278836.22,invert_divide,ETH
2023-04-01,2278836.22,2278836.22,2278836.22,0.0,0.0,2278836.22,invert_divide,ETH
2023-04-02,2289570.26,2289570.26,2278836.22,0.0,0.0,2289570.26,invert_divide,ETH
2023-04-03,2238948.72,2238948.72,2289570.26,0.0,0.0,2238948.72,invert_divide,ETH
2023-04-04,2195464.17,2195464.17,2238948.72,0.0,0.0,2195464.17,invert_divide,ETH
2023-04-05,2152047.37,2152047.37,2195464.17,0.0,0.0,2152047.37,invert_divide,ETH
2023-04-06,2183301.84,2183301.84,2152047.37,0.0,0.0,2183301.84,invert_divide,ETH
2023-04-07,2183301.84,2183301.84,2183301.84,0.0,0.0,2183301.84,invert_divide,ETH
2023-04-08,2203758.95,2203758.95,2183301.84,0.0,0.0,2203758.95,invert_divide,ETH
2023-04-09,2222229.96,2222229.96,2203758.95,0.0,0.0,2222229.96,invert_divide,ETH
2023-04-10,2262922.56,2262922.56,2222229.96,0.0,0.0,2262922.56,invert_divide,ETH
2023-04-11,2330181.05,2330181.05,2262922.56,0.0,0.0,2330181.05,invert_divide,ETH
