time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-17,132086.32,125724.5,128063.54,124769.37,16016097559.1,127047.75,direct,
2023-01-18,131449.76,121377.93,127047.75,121422.51,15487375367.25,122371.5,direct,
2023-01-19,127800.16,122316.41,122371.5,114869.47,14317703741.39,125381.87,direct,
2023-01-20,135697.57,124608.94,125381.87,116388.36,14847881466.53,135087.21,direct,
2023-01-21,136686.45,130532.72,135087.21,104898.32,14042013053.19,132488.38,direct,
2023-01-22,135495.13,129279.45,132488.38,83496.52,11022272594.22,132562.93,direct,
2023-01-23,134982.36,128846.21,132562.93,86038.82,11411250500.09,131834.32,direct,
2023-01-24,134751.22,124760.76,131834.32,80951.45,10703711760.81,126272.77,direct,
2023-01-25,134458.2,123444.99,126272.77,85601.67,10871324730.53,130486.8,direct,
2023-01-26,133613.9,127887.9,130486.8,87765.46,11501029217.15,129663.67,direct,
2023-01-27,132923.5,125870.59,129663.67,82749.77,10695293306.12,130958.29,direct,
2023-01-28,131730.4,126329.61,130958.29,87924.35,11348063032.88,127518.53,direct,
2023-01-29,136101.03,126953.84,127518.53,91087.6,11962769737.46,134890.02,direct,
2023-01-30,135050.31,124593.76,134890.02,92411.01,12047163750.49,128427.45,direct,
2023-01-31,131901.69,126694.53,128427.45,105268.83,13586363805.38,130303.62,direct,
2023-02-01,135377.46,126977.09,130303.62,108229.44,14081231709.21,133449.8,direct,
2023-02-02,141480.31,132834.15,133449.8,114219.62,15653838370.35,134167.61,direct,
2023-02-03,138527.04,132766.85,134167.61,96906.56,13144578971.19,137884.98,direct,
2023-02-04,140389.29,135020.1,137884.98,94862.61,13035049625.63,137810.08,direct,
2023-02-05,138573.05,131990.89,137810.08,101860.25,13841256288.25,133682.82,direct,
2023-02-06,138021.41,131957.76,133682.82,116205.31,15688283042.56,134245.47,direct,
2023-02-07,139721.96,132232.02,134245.47,144065.7,19560662417.59,137669.95,direct,
2023-02-08,141249.56,134136.44,137669.95,154825.26,21326957007.34,135779.23,direct,
2023-02-09,137568.53,125191.19,135779.23,155647.33,20780764270.4,128197.51,direct,
2023-02-10,129032.57,123488.27,128197.51,127370.59,16189671504.54,127308.13,direct,
2023-02-11,127957.59,123649.48,127308.13,72595.09,9124279826.58,127581.96,direct,
2023-02-12,128379.73,122593.16,127581.96,125977.37,15920657484.14,125637.62,direct,
2023-02-13,126894.75,120281.56,125637.62,190451.39,23544247200.11,125000.06,direct,
2023-02-14,130554.17,121874.02,125000.06,187181.21,23539512925.54,129611.66,direct,
2023-02-15,139720.28,127201.04,129611.66,149461.36,19616348125.39,139341.3,direct,
2023-02-16,145020.06,134434.65,139341.3,156955.33,21932272518.09,136158.87,direct,
2023-02-17,143241.85,134106.38,136158.87,159487.07,22085477487.25,140963.22,direct,
2023-02-18,143921.93,138388.04,140963.22,135825.08,19048550320.18,139282.42,direct,
2023-02-19,143529.86,137339.12,139282.42,136957.05,19205087124.59,138509.21,direct,
2023-02-20,143002.93,136026.21,138509.21,157722.46,22135485870.96,141598.78,direct,
2023-02-21,142760.64,134892.13,141598.78,203734.19,28347296519.34,138179.16,direct,
2023-02-22,138788.6,131551.61,138179.16,208591.33,28221832729.32,135462.67,direct,
2023-02-23,139745.22,133992.95,135462.67,226177.5,30955326965.06,135641.14,direct,
2023-02-24,138199.72,129948.82,135641.14,194857.13,26307709916.63,134000.31,direct,
2023-02-25,134426.73,129054.76,133962.81,154987.56,20508024357.04,132792.53,direct,
2023-02-26,137547.93,130969.41,132792.53,152295.21,20337948399.01,136678.61,direct,
2023-02-27,138502.35,132241.74,136678.61,160050.56,21687536481.32,134298.27,direct,
2023-02-28,136711.28,131374.56,134298.27,145976.88,19650346731.05,133351.22,direct,
2023-03-01,138405.83,131290.49,133351.22,162687.22,22092059690.98,136591.83,direct,
2023-03-02,138977.3,132874.86,136591.83,158554.33,21478266203.09,136411.46,direct,
2023-03-03,136511.61,125779.74,136411.46,82332.57,10657973999.86,128849.39,direct,
2023-03-04,129545.42,125922.38,128849.39,133616.33,17099295677.2,127305.88,direct,
2023-03-05,130401.14,126211.9,127305.88,134078.43,17193249957.94,128507.43,direct,
2023-03-06,130160.8,126537.26,128507.43,144533.98,18514992536.76,127591.06,direct,
2023-03-07,130302.23,125147.01,127591.06,148332.41,18979913616.5,128872.96,direct,
2023-03-08,129571.48,126468.8,128872.96,55290.43,7076499771.1,127262.92,direct,
2023-03-09,127262.92,124813.87,127262.92,9953.23,1252013501.84,126188.63,direct,
2023-03-10,126188.63,114171.09,126188.63,7797.1,904326664.63,115552.02,direct,
2023-03-11,121607.81,115552.02,115552.02,2687.51,320066078.48,117474.16,direct,
