time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-17,7203.61,6907.59,6975.62,24655.15,174097754.51,7061.31,multiply,ETH
2023-01-18,6855.25,6615.4,7061.31,12494.22,83541087.23,6686.38,multiply,ETH
2023-01-19,6875.94,6760.59,6686.38,7509.22,51068047.29,6800.71,multiply,ETH
2023-01-20,7543.27,7252.83,6800.71,12035.17,88557191.85,7358.2,multiply,ETH
2023-01-21,7288.19,7096.08,7358.2,15562.16,111502434.29,7164.97,multiply,ETH
2023-01-22,7280.36,7108.02,7164.97,9169.17,65442091.48,7137.19,multiply,ETH
2023-01-23,7478.96,7068.96,7137.19,23504.62,171266010.91,7286.48,multiply,ETH
2023-01-24,7088.95,6934.9,7286.48,8694.12,61533405.98,7077.59,multiply,ETH
2023-01-25,7415.56,7222.44,7077.59,12394.94,89699676.11,7236.8,multiply,ETH
2023-01-26,7219.67,7034.25,7236.8,14401.24,102011562.18,7083.53,multiply,ETH
2023-01-27,7324.5,7146.39,7083.53,9193.57,66965045.35,7283.9,multiply,ETH
2023-01-28,7300.44,7060.7,7283.9,18166.96,132093902.41,7271.11,multiply,ETH
2023-01-29,8089.35,7691.43,7271.11,26687.11,207493901.57,7775.06,multiply,ETH
2023-01-30,7605.47,7343.48,7775.06,23283.97,174334542.06,7487.32,multiply,ETH
2023-01-31,7987.61,7596.7,7487.32,19066.27,147548753.61,7738.73,multiply,ETH
2023-02-01,8317.93,7906.9,7738.73,27460.37,224015829.46,8157.79,multiply,ETH
2023-02-02,8232.52,7949.43,8157.79,18997.22,153005160.59,8054.08,multiply,ETH
2023-02-03,8405.47,8182.09,8054.08,9058.73,74981240.18,8277.24,multiply,ETH
2023-02-04,8388.5,8104.61,8277.24,9107.69,74178270.91,8144.58,multiply,ETH
2023-02-05,7948.78,7816.43,8144.58,10852.02,85970178.99,7922.04,multiply,ETH
2023-02-06,7997.0,7892.29,7922.04,6657.26,53113006.87,7978.21,multiply,ETH
2023-02-07,8422.65,8155.57,7978.21,12665.87,105250316.86,8309.76,multiply,ETH
2023-02-08,8283.89,8055.78,8309.76,7653.37,62443646.31,8158.97,multiply,ETH
2023-02-09,7723.9,7423.92,8158.97,14839.12,113284241.87,7634.16,multiply,ETH
2023-02-10,7899.47,7543.01,7634.16,18851.57,148101415.85,7856.18,multiply,ETH
2023-02-11,7953.46,7774.84,7856.18,6154.74,48134831.48,7820.77,multiply,ETH
2023-02-12,7726.71,7626.2,7820.77,4843.25,37118158.59,7663.89,multiply,ETH
2023-02-13,7810.0,7498.75,7663.89,12051.97,91082806.99,7557.5,multiply,ETH
2023-02-14,8025.55,7812.99,7557.5,7050.68,56220072.85,7973.71,multiply,ETH
2023-02-15,8725.55,8356.3,7973.71,13735.15,117473565.05,8552.77,multiply,ETH
2023-02-16,8360.15,8123.24,8552.77,13391.51,109694111.81,8191.32,multiply,ETH
2023-02-17,8543.78,8268.9,8191.32,10531.21,87808960.04,8337.97,multiply,ETH
2023-02-18,8363.91,8153.59,8337.97,25154.29,206569330.67,8212.09,multiply,ETH
2023-02-19,8181.74,8018.3,8212.09,12491.1,100278473.5,8027.99,multiply,ETH
2023-02-20,8272.2,7820.5,8027.99,136972.19,1092137799.33,7973.43,multiply,ETH
2023-02-21,7826.47,7631.64,7973.43,13453.34,105069053.38,7809.89,multiply,ETH
2023-02-22,7894.76,7631.97,7809.89,8615.19,67618102.92,7848.71,multiply,ETH
2023-02-23,7929.58,7700.35,7848.71,6275.81,48811135.03,7777.66,multiply,ETH
2023-02-24,7747.9,7587.1,7777.66,6775.2,51703703.37,7631.32,multiply,ETH
2023-02-25,7794.92,7561.21,7629.18,6959.14,54024160.85,7763.05,multiply,ETH
2023-02-26,8068.14,7897.29,7763.05,6299.79,50000972.61,7936.93,multiply,ETH
2023-02-27,7806.76,7675.15,7936.93,6729.14,52017654.7,7730.21,multiply,ETH
2023-02-28,7818.38,7670.36,7730.21,6925.16,53968085.57,7793.05,multiply,ETH
2023-03-01,8098.53,7978.33,7793.05,6922.35,55512445.24,8019.31,multiply,ETH
2023-03-02,8233.8,7840.93,8019.31,10023.28,79138760.18,7895.5,multiply,ETH
2023-03-03,7462.96,7116.35,7895.5,16671.71,123990621.39,7437.19,multiply,ETH
2023-03-04,7354.46,7160.96,7437.19,4083.41,29641396.74,7258.98,multiply,ETH
2023-03-05,7482.99,7318.5,7258.98,5690.8,42050329.75,7389.18,multiply,ETH
2023-03-06,7368.38,7063.44,7389.18,8147.32,58005505.88,7119.58,multiply,ETH
2023-03-07,7276.17,6990.07,7119.58,16809.76,119624385.22,7116.36,multiply,ETH
2023-03-08,7035.09,6714.39,7116.36,10425.09,71643279.31,6872.2,multiply,ETH
2023-03-09,6942.9,6593.36,6872.2,16083.64,108176214.09,6725.85,multiply,ETH
2023-03-10,6179.72,5725.6,6725.85,30844.62,178493040.01,5786.85,multiply,ETH
2023-03-11,5910.12,5343.9,5786.85,44247.16,244509119.73,5525.98,multiply,ETH
2023-03-12,6267.44,5934.44,5525.98,54337.12,339498662.78,6248.01,multiply,ETH
2023-03-13,6851.28,6542.93,6248.01,30675.88,206563601.58,6733.75,multiply,ETH
2023-03-14,7342.17,6945.54,6733.75,23786.03,171380750.66,7205.1,multiply,ETH
2023-03-15,7296.97,6685.97,7205.1,19046.63,128678405.28,6755.97,multiply,ETH
2023-03-16,7002.41,6732.64,6755.97,10824.28,74359651.68,6869.71,multiply,ETH
2023-03-17,7068.03,6852.21,6869.71,14052.59,97992124.13,6973.24,multiply,ETH
2023-03-18,7034.49,6815.75,6973.24,15894.52,109352968.84,6879.92,multiply,ETH
2023-03-19,6967.41,6786.59,6879.92,7962.48,54676696.8,6866.79,multiply,ETH
2023-03-20,6900.33,6559.11,6866.79,19908.97,130759243.27,6567.86,multiply,ETH
2023-03-21,6763.26,6515.36,6567.86,20179.29,134682763.43,6674.31,multiply,ETH
2023-03-22,7409.25,6489.11,6674.31,34196.95,250780771.19,7333.43,multiply,ETH
2023-03-23,7641.11,7202.18,7333.43,33751.66,254208862.85,7531.74,multiply,ETH
2023-03-24,7843.8,7425.29,7531.74,59220.13,462006794.97,7801.52,multiply,ETH
2023-03-25,7856.93,7607.57,7801.52,14675.99,112461883.33,7662.98,multiply,ETH
2023-03-26,7896.3,7587.16,7662.98,8930.67,68539769.02,7674.65,multiply,ETH
2023-03-27,7775.27,7482.16,7674.65,12973.02,98409417.25,7585.7,multiply,ETH
2023-03-28,7597.36,7205.1,7585.7,17898.43,131152395.75,7327.59,multiply,ETH
2023-03-29,7483.62,7308.64,7327.59,10835.79,80411516.96,7420.92,multiply,ETH
2023-03-30,7453.0,7146.77,7420.92,11821.51,85606135.79,7241.56,multiply,ETH
2023-03-31,7283.85,7107.4,7241.56,7548.89,54137331.62,7171.56,multiply,ETH
2023-04-01,7527.37,7148.23,7171.56,18285.25,135560033.95,7413.63,multiply,ETH
2023-04-02,7591.53,7410.71,7413.63,11509.01,86766830.83,7539.04,multiply,ETH
