time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-12-31,61522.32,55498.79,57793.54,58.04,3380850.2,59562.34,direct,
2018-01-01,64347.36,54275.95,57701.99,72.79,4334733.57,57381.51,direct,
2018-01-02,73109.5,57381.51,57381.51,216.18,13872472.64,62293.26,direct,
2018-01-03,72693.39,57763.96,62293.26,136.6,8636513.67,63799.57,direct,
2018-01-04,79675.46,61505.98,64397.18,98.24,6260784.23,65676.74,direct,
2018-01-05,78667.02,65527.53,73316.19,30.68,2130704.46,77564.17,direct,
2018-01-06,77564.17,60514.24,77564.17,67.98,4392129.46,71734.72,direct,
2018-01-07,78762.72,66010.7,71734.72,15.61,1103926.19,78762.72,direct,
2018-01-08,89263.51,64025.56,78762.72,98.08,6934669.96,69337.58,direct,
2018-01-09,103207.76,65343.71,69337.58,71.31,5122605.82,93684.71,direct,
2018-01-10,100883.36,71067.77,93684.71,62.74,4792602.27,97994.59,direct,
2018-01-11,99081.82,67286.42,98855.23,39.91,2983988.76,83450.51,direct,
2018-01-12,94580.93,67582.75,83450.51,25.07,1950817.61,78526.73,direct,
2018-01-13,106567.98,72186.32,78526.73,15.35,1383322.49,98479.5,direct,
2018-01-14,104375.12,89492.85,98479.5,10.86,1013141.41,94178.32,direct,
2018-01-15,98376.07,91534.92,94178.32,12.99,1236222.73,91965.16,direct,
2018-01-16,98845.04,64629.44,91965.16,105.84,7232493.88,64629.44,direct,
2018-01-17,86845.43,54201.53,64629.44,168.09,10103976.42,66303.36,direct,
2018-01-18,85778.24,62516.51,79441.91,31.78,2111116.54,75666.83,direct,
2018-01-19,85898.63,66602.08,75666.83,6.003,450459.65,75118.95,direct,
2018-01-20,90010.24,62867.73,76275.85,11.7,888662.93,90010.24,direct,
2018-01-21,100597.54,52371.77,90010.24,48.56,3000934.29,72513.18,direct,
2018-01-22,84841.39,54815.21,67277.39,47.07,2802458.99,81602.4,direct,
2018-01-23,81602.4,57275.93,81602.4,12.18,790654.83,77629.78,direct,
2018-01-24,80749.0,62755.78,77629.78,1.168,84620.9,80749.0,direct,
2018-01-25,82572.5,60761.56,73246.0,14.26,958632.86,76056.88,direct,
2018-01-26,77249.86,65965.41,70511.52,7.836,561488.21,74409.32,direct,
2018-01-27,80676.13,69927.92,74409.32,11.39,834302.04,77695.85,direct,
2018-01-28,89328.98,63726.84,77695.06,62.98,4201202.96,80311.24,direct,
2018-01-29,86659.29,63008.17,80311.24,81.95,5431683.26,74234.0,direct,
2018-01-30,81494.56,58032.68,74234.0,56.4,3555770.41,69134.01,direct,
2018-01-31,80783.28,50024.81,60448.0,161.67,8666488.41,76240.18,direct,
2018-02-01,77037.04,35071.8,53956.3,106.51,4952071.06,44012.48,direct,
2018-02-02,69682.68,34017.96,44012.48,92.09,3542408.65,69682.68,direct,
2018-02-03,74967.16,40022.97,69682.68,19.08,900636.64,71442.98,direct,
2018-02-04,73964.67,51638.8,71442.98,4.277,286998.48,68680.0,direct,
2018-02-05,68680.0,35024.28,68680.0,32.56,1256671.31,35573.45,direct,
2018-02-06,48888.97,17003.65,35573.45,216.5,5701417.87,45476.19,direct,
2018-02-07,64054.33,28014.26,45476.19,34.83,1372934.17,40647.39,direct,
2018-02-08,60310.26,36111.56,40647.39,11.89,521796.43,45756.28,direct,
2018-02-09,58860.23,30101.93,52894.04,28.13,1065598.35,32078.31,direct,
2018-02-10,61242.3,29174.83,41889.58,31.92,1254315.96,29174.83,direct,
2018-02-11,43565.44,24903.05,29174.83,49.19,1338081.87,32004.01,direct,
2018-02-12,61718.98,31588.32,32004.01,51.7,1807590.3,37167.7,direct,
2018-02-13,58434.93,34878.89,37167.7,9.98,523001.41,58434.93,direct,
2018-02-14,59883.4,30087.14,58434.93,34.55,1366182.62,39559.75,direct,
2018-02-15,64537.89,33129.18,39559.75,60.81,2329165.19,35023.07,direct,
2018-02-16,58940.34,32115.97,35023.07,95.27,3569483.85,40989.98,direct,
2018-02-17,69175.96,37128.4,40838.65,70.66,3048260.76,58083.43,direct,
2018-02-18,67743.99,54822.82,58083.43,17.92,1022229.68,55124.18,direct,
2018-02-19,62511.86,49736.41,55124.18,26.22,1407580.9,58911.88,direct,
2018-02-20,63034.32,52830.2,58630.18,32.67,1858180.1,52830.2,direct,
2018-02-21,59743.17,46329.79,52830.2,42.76,2203317.1,53006.01,direct,
2018-02-22,61246.69,52127.81,53006.01,25.63,1388386.25,52734.53,direct,
2018-02-23,67596.2,52734.53,52734.53,51.61,3051471.29,67596.2,direct,
2018-02-24,67596.2,53400.63,67596.2,15.13,841879.07,54107.76,direct,
2018-02-25,61163.85,54107.76,54107.76,7.825,433362.18,54958.83,direct,
2018-02-26,61443.09,53123.15,54958.83,16.98,953717.8,61443.09,direct,
2018-02-27,61509.93,55015.1,61443.09,15.71,894104.28,61091.72,direct,
2018-02-28,61091.72,53616.02,61091.72,21.35,1197275.27,55173.62,direct,
2018-03-01,59795.12,51240.67,55173.62,7.763,415628.84,59795.12,direct,
2018-03-02,64166.45,54420.93,59795.12,3.635,212734.19,55079.64,direct,
2018-03-03,59868.95,55079.64,55079.64,3.147,179368.93,59085.0,direct,
2018-03-04,59085.0,52485.42,54401.81,1.731,95685.12,57666.53,direct,
2018-03-05,59095.43,51475.39,51475.39,2.489,141860.56,58579.98,direct,
2018-03-06,58580.0,52135.67,58145.7,3.975,218672.77,52534.12,direct,
2018-03-07,58075.0,49005.98,52534.12,4.078,214426.25,49005.98,direct,
2018-03-08,58074.94,49995.99,52014.99,4.287,219359.56,57570.0,direct,
2018-03-09,58580.0,43183.59,53404.65,3.193,156080.87,47859.94,direct,
2018-03-10,58075.0,47520.97,47520.97,2.504,130173.1,57668.15,direct,
2018-03-11,55451.13,42380.95,42380.95,0.4822,25121.32,54392.18,direct,
2018-03-12,55550.0,45422.2,54874.63,2.571,129709.47,55550.0,direct,
2018-03-13,52667.03,46588.89,48365.47,3.944,190044.28,51767.33,direct,
2018-03-14,52520.0,43065.97,51930.57,3.088,148430.7,50500.0,direct,
2018-03-15,54338.0,43048.39,50500.0,1.624,79784.49,46269.35,direct,
2018-03-16,46801.34,41957.33,46269.35,2.732,125966.43,46548.67,direct,
2018-03-17,46548.67,41013.17,46548.67,1.21,52749.63,41013.17,direct,
2018-03-18,38444.58,36441.7,38444.58,0.385,14384.63,36781.15,direct,
2018-03-19,44238.0,36273.56,36781.15,1.391,52568.05,37828.12,direct,
2018-03-20,42465.45,35901.75,36630.98,1.217,45542.69,36234.29,direct,
2018-03-21,41234.0,38124.85,38278.99,4.761,186667.52,39012.98,direct,
2018-03-22,39390.0,34567.88,38102.5,2.239,83290.71,39188.0,direct,
2018-03-23,39794.0,33158.88,39188.0,2.0,73829.32,39794.0,direct,
2018-03-24,39794.0,35145.97,39794.0,0.8681,33183.75,39794.0,direct,
2018-03-25,38938.0,33587.38,33587.38,1.177,44627.85,36702.39,direct,
2018-03-26,39088.18,28079.51,36702.39,1.664,59973.02,37512.3,direct,
2018-03-27,37744.0,30812.79,37512.3,8.65,291309.33,31535.9,direct,
2018-03-28,34305.66,30258.95,30258.95,3.631,113943.2,33662.1,direct,
2018-03-29,33662.1,27603.33,33662.1,3.282,92739.89,27603.33,direct,
2018-03-30,30300.0,25259.28,27535.92,5.38,148662.33,25740.97,direct,
2018-03-31,31310.0,24947.87,25740.97,1.743,51687.54,31310.0,direct,
2018-04-01,31310.0,25740.0,31310.0,1.567,45982.1,29689.02,direct,
2018-04-02,30794.86,20608.2,29689.02,8.9,243899.75,20608.2,direct,
2018-04-03,30704.0,20608.2,20608.2,4.01,116111.26,27422.98,direct,
2018-04-04,29601.52,25740.99,27422.98,2.759,74596.37,25740.99,direct,
2018-04-05,27924.48,20608.1,25740.99,10.43,252256.47,24995.33,direct,
2018-04-06,26666.62,21051.88,23684.35,9.307,218577.68,26666.62,direct,
2018-04-07,26666.62,20325.63,26666.62,6.992,163341.86,24429.08,direct,
2018-04-08,29744.61,17719.27,24429.08,1.111,29029.76,29744.61,direct,
2018-04-09,32319.99,23760.95,29744.61,4.355,117143.39,24495.51,direct,
2018-04-10,28081.76,24324.7,24495.51,0.4088,10454.18,24895.87,direct,
2018-04-11,29903.05,24872.56,24895.87,1.753,48401.39,28450.48,direct,
2018-04-12,29537.04,26319.51,29159.0,5.599,157423.71,27603.07,direct,
2018-04-13,36190.92,29401.44,29502.99,5.504,174952.51,34154.1,direct,
2018-04-14,35222.69,29898.98,34154.1,4.604,145893.03,33834.92,direct,
2018-04-15,34536.0,30861.11,33834.92,2.241,74818.26,34451.78,direct,
2018-04-16,41687.1,30227.82,34451.78,9.481,311307.87,33834.99,direct,
2018-04-17,35814.47,30575.7,33834.99,4.328,140013.49,30901.38,direct,
2018-04-18,33604.39,30690.99,33185.5,7.435,236641.71,31373.41,direct,
2018-04-19,38884.38,31373.41,31373.41,4.524,162938.87,38884.38,direct,
2018-04-20,41046.71,36135.98,38884.38,6.09,231074.85,37436.31,direct,
2018-04-21,45043.55,29999.93,37436.31,5.485,229128.1,38933.66,direct,
2018-04-22,41493.17,38065.42,38933.66,3.152,122948.56,41493.17,direct,
2018-04-23,41629.96,36996.26,38808.99,5.207,205257.64,39699.98,direct,
2018-04-24,46617.62,39699.98,39699.98,5.384,242041.05,44452.54,direct,
2018-04-25,44452.54,38697.44,44452.54,7.193,296237.54,39105.99,direct,
2018-04-26,44440.0,39437.9,41260.1,7.66,327856.13,44440.0,direct,
2018-04-27,46513.33,41927.64,44440.0,1.794,78908.27,46081.42,direct,
2018-04-28,46460.0,41821.87,46081.42,1.355,59332.52,46460.0,direct,
2018-04-29,70700.0,42372.98,46460.0,0.8486,38475.58,46251.73,direct,
2018-04-30,46251.73,46251.73,46251.73,0.0,0.0,46251.73,direct,
2018-05-01,46251.73,46251.73,46251.73,0.0,0.0,46251.73,direct,
2018-05-02,46251.73,46251.73,46251.73,0.0,0.0,46251.73,direct,
2018-05-03,47341.91,43362.98,46251.73,4.24,188123.61,47341.91,direct,
2018-05-04,54338.23,54338.23,54338.23,0.4869,26246.52,54338.23,direct,
2018-05-05,54338.23,54338.23,54338.23,0.0,0.0,54338.23,direct,
2018-05-06,54338.23,54338.23,54338.23,0.0,0.0,54338.23,direct,
2018-05-07,54338.23,54338.23,54338.23,0.0,0.0,54338.23,direct,
2018-05-08,54338.23,54338.23,54338.23,0.0,0.0,54338.23,direct,
2018-05-09,52520.0,51037.52,52520.0,0.599,31313.22,51037.52,direct,
2018-05-10,51037.52,51037.52,51037.52,0.0,0.0,51037.52,direct,
2018-05-11,51037.52,51037.52,51037.52,0.0,0.0,51037.52,direct,
2018-05-12,54540.0,44550.99,51037.52,6.795,325598.88,47619.0,direct,
2018-05-13,54540.0,47520.95,47619.0,0.858,41878.82,47520.95,direct,
2018-05-14,47520.95,47520.95,47520.95,0.0,0.0,47520.95,direct,
2018-05-15,47520.95,47520.95,47520.95,0.0,0.0,47520.95,direct,
2018-05-16,47520.95,47520.95,47520.95,0.0,0.0,47520.95,direct,
2018-05-17,52469.5,47520.95,47520.95,0.3287,16756.48,52469.33,direct,
2018-05-18,51510.0,46645.8,51510.0,0.9591,47890.59,50498.96,direct,
2018-05-19,51662.27,45417.52,50498.96,3.142,150657.06,51662.27,direct,
2018-05-20,52223.98,47874.94,51662.27,0.3913,19706.36,47874.94,direct,
2018-05-21,52322.86,45722.71,47874.94,9.021,427589.18,50096.0,direct,
2018-05-22,51510.0,45320.3,50096.0,2.741,128793.21,49995.0,direct,
2018-05-23,66976.09,41580.93,46530.98,2.31,102696.79,41580.93,direct,
2018-05-24,69874.5,40590.99,41580.93,3.116,127566.89,50500.0,direct,
2018-05-25,45309.11,40590.99,44944.99,5.483,230394.8,40590.99,direct,
2018-05-26,45450.0,39640.38,40590.99,3.325,141588.58,45450.0,direct,
2018-05-27,45450.0,39303.83,45450.0,2.545,104643.45,39303.83,direct,
2018-05-28,42399.0,37620.96,37620.99,0.625,23560.89,42399.0,direct,
2018-05-29,46460.0,35594.29,42399.0,3.973,152869.48,38610.98,direct,
2018-05-30,65650.0,38610.98,38610.98,1.366,58313.47,65650.0,direct,
