time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-12-31,19149.29,17636.41,17499.88,44566.38,809881200.62,18172.47,multiply,ETH
2018-01-01,17575.96,16698.02,17558.72,38315.77,648591938.13,16927.55,multiply,ETH
2018-01-02,19186.32,16981.14,16927.55,72479.99,1301678784.68,17959.15,multiply,ETH
2018-01-03,18712.41,16103.01,18008.98,100157.24,1633281148.63,16307.17,multiply,ETH
2018-01-04,17056.25,14356.94,16459.92,127608.51,2069246909.37,16215.59,multiply,ETH
2018-01-05,20244.25,17940.59,18101.77,150109.41,2917763816.04,19437.58,multiply,ETH
2018-01-06,22316.67,17783.04,19468.61,148633.4,2927833346.07,19698.35,multiply,ETH
2018-01-07,22203.21,18320.21,19705.53,97786.57,1841532953.23,18832.17,multiply,ETH
2018-01-08,16703.42,14429.15,18824.29,102334.2,1575934043.57,15399.88,multiply,ETH
2018-01-09,20910.43,17050.62,15399.88,103635.78,1843755810.24,17790.73,multiply,ETH
2018-01-10,19667.51,12474.71,17790.73,134204.38,2607903423.43,19432.33,multiply,ETH
2018-01-11,16665.07,15204.68,19612.88,91283.16,1505242948.27,16489.82,multiply,ETH
2018-01-12,15846.69,14448.92,16489.82,63642.24,928057476.36,14582.41,multiply,ETH
2018-01-13,18917.91,17125.59,14582.41,71996.25,1318059759.08,18307.34,multiply,ETH
2018-01-14,18515.46,16330.52,18327.03,74613.08,1219173139.99,16339.94,multiply,ETH
2018-01-15,17096.32,15836.4,16339.94,60371.91,1006042760.11,16664.09,multiply,ETH
2018-01-16,12525.19,11006.39,16664.09,100397.76,1158873069.68,11542.82,multiply,ETH
2018-01-17,12584.38,10562.13,11504.04,99575.4,1212160907.74,12173.3,multiply,ETH
2018-01-18,14361.56,13657.86,14561.7,69616.71,989269507.86,14210.23,multiply,ETH
2018-01-19,14197.48,13664.14,14210.23,39392.82,549217734.41,13942.08,multiply,ETH
2018-01-20,16741.9,16057.83,14149.17,43675.29,719020747.97,16462.87,multiply,ETH
2018-01-21,13291.67,12791.32,16462.87,34125.65,448637619.41,13146.64,multiply,ETH
2018-01-22,14949.56,14427.3,12197.39,36628.26,535022752.36,14606.83,multiply,ETH
2018-01-23,14167.43,13693.89,14606.83,35836.73,501594143.09,13996.65,multiply,ETH
2018-01-24,14647.87,13646.58,13965.6,39446.73,541816808.53,13735.4,multiply,ETH
2018-01-25,13074.18,12412.48,12466.47,39302.69,507274024.1,12906.85,multiply,ETH
2018-01-26,12679.35,12329.62,11965.8,38377.6,478035997.36,12456.12,multiply,ETH
2018-01-27,13223.83,12563.42,12456.12,29743.41,375758766.25,12633.35,multiply,ETH
2018-01-28,13146.95,12175.18,12633.22,40303.93,509481542.88,12640.99,multiply,ETH
2018-01-29,11773.51,11164.79,12640.99,29903.67,341637845.07,11424.61,multiply,ETH
2018-01-30,10950.83,10370.1,11424.61,44664.84,478309435.81,10708.86,multiply,ETH
2018-01-31,11885.84,11009.08,9351.31,33182.83,370878199.05,11176.81,multiply,ETH
2018-02-01,6540.25,5620.39,7909.99,53925.57,326342234.78,6051.72,multiply,ETH
2018-02-02,10090.05,9344.45,6069.32,81745.59,815133631.06,9971.59,multiply,ETH
2018-02-03,12031.0,9916.29,9950.69,77686.45,916885026.75,11802.38,multiply,ETH
2018-02-04,12705.8,11139.9,11830.96,127466.04,1560028311.17,12238.78,multiply,ETH
2018-02-05,6645.12,6161.32,12273.12,83105.83,529779907.01,6374.76,multiply,ETH
